ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Selected_view,Selected_cls,Prediction,Accuracy,Oracle_view
0 (0.32),1 (0.52),0 (0.28),0 (0.32),0 (0.2),1 (0.0),0 (0.2),0 (0.36),0 (0.44),0 (0.36),1 (0.4),0 (0.2),0 (0.0),1 (0.2),0 (0.2),1,"ELMO,XLNET",ELMO,KNN,"(1, 0)",TRUE,TRUE
0 (0.2),0 (0.04),0 (0.28),0 (0.04),0 (0.0),0 (0.0),0 (0.04),0 (0.08),1 (0.48),0 (0.12),0 (0.36),0 (0.04),0 (0.04),0 (0.16),0 (0.0),0,"ELECTRA,ELMO,MISTRAL",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.6),1 (0.08),1 (0.04),1 (0.32),1 (0.12),1 (0.04),1 (0.04),1 (0.04),1 (0.08),1 (0.24),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1,"ALBERT,W2V,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1)",TRUE,TRUE
0 (0.52),0 (0.4),1 (0.36),1 (0.04),0 (0.16),0 (0.16),0 (0.04),0 (0.56),0 (0.36),0 (0.28),0 (0.28),1 (0.44),0 (0.52),0 (0.0),0 (0.0),0,"LLAMA3,MISTRAL",LLAMA3,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
0 (0.16),0 (0.36),0 (0.16),0 (0.2),0 (0.64),0 (0.12),0 (0.0),0 (0.28),0 (0.56),0 (0.0),0 (0.04),0 (0.12),0 (0.28),0 (0.0),0 (0.0),0,"Falcon,LLAMA,LLAMA3,MISTRAL",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
1 (0.08),1 (0.36),1 (0.04),1 (0.04),1 (0.24),1 (0.08),1 (0.0),1 (0.08),1 (0.16),1 (0.0),1 (0.48),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"Falcon,LLAMA,W2V,XLNET,LLAMA3,MISTRAL",Falcon,"AdaBoost, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.12),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.12),1 (0.48),1 (0.0),0 (0.4),0 (0.4),0 (0.16),1 (0.0),1 (0.0),1 (0.16),1 (0.04),1 (0.44),1 (0.0),1 (0.6),1 (0.16),1 (0.16),1,"BERT,Falcon,Fasttext,W2V",BERT,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1)",TRUE,TRUE
0 (0.16),0 (0.6),0 (0.08),0 (0.24),0 (0.16),0 (0.0),0 (0.24),0 (0.32),0 (0.28),0 (0.16),0 (0.16),0 (0.0),0 (0.48),0 (0.2),0 (0.0),0,"ELMO,W2V,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
1 (0.32),1 (0.6),0 (0.16),0 (0.0),1 (0.0),0 (0.36),1 (0.16),1 (0.2),1 (0.08),1 (0.12),1 (0.16),0 (0.12),1 (0.2),1 (0.0),1 (0.0),1,"DistilBERT,ELECTRA,LLAMA3,MISTRAL",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 1, 1, 1)",TRUE,TRUE
1 (0.36),0 (0.48),1 (0.28),1 (0.36),1 (0.0),1 (0.16),1 (0.0),1 (0.28),1 (0.32),1 (0.04),0 (0.2),1 (0.12),1 (0.04),1 (0.08),1 (0.0),1,"ELECTRA,Falcon,MISTRAL",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1)",TRUE,TRUE
0 (0.2),0 (0.52),0 (0.16),0 (0.4),0 (0.56),0 (0.16),0 (0.0),0 (0.24),0 (0.4),0 (0.04),0 (0.16),0 (0.32),0 (0.28),0 (0.32),0 (0.12),0,Falcon,Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
0 (0.0),0 (0.28),0 (0.28),0 (0.12),0 (0.04),0 (0.16),0 (0.24),0 (0.16),0 (0.2),0 (0.0),0 (0.44),0 (0.0),0 (0.08),0 (0.04),0 (0.28),0,"ALBERT,LLAMA,W2V",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
0 (0.24),0 (0.12),0 (0.04),0 (0.12),0 (0.08),0 (0.16),0 (0.12),0 (0.32),0 (0.56),0 (0.16),0 (0.16),0 (0.2),0 (0.36),0 (0.08),0 (0.0),0,MISTRAL,MISTRAL,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
1 (0.0),1 (0.16),1 (0.48),1 (0.24),1 (0.32),1 (0.08),1 (0.24),1 (0.28),1 (0.56),0 (0.16),1 (0.28),1 (0.24),1 (0.32),1 (0.16),1 (0.28),1,ALBERT,ALBERT,"AdaBoost, KNN, MLP, NB, RF, SVM, XGBoost","(1,)",TRUE,TRUE
0 (0.24),0 (0.28),0 (0.2),0 (0.0),0 (0.36),0 (0.0),0 (0.0),0 (0.36),0 (0.2),0 (0.0),0 (0.04),0 (0.04),0 (0.52),0 (0.0),0 (0.0),0,"DistilBERT,ELMO,Falcon,LLAMA,LLAMA3,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.28),0 (0.08),1 (0.32),0 (0.24),0 (0.44),0 (0.12),0 (0.32),1 (0.28),1 (0.12),0 (0.16),0 (0.32),0 (0.12),0 (0.2),0 (0.0),0 (0.24),0,LLAMA3,LLAMA3,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
1 (0.0),1 (0.64),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.24),0 (0.2),0 (0.0),0 (0.04),0 (0.28),0 (0.12),0 (0.0),0 (0.08),0 (0.44),1 (0.32),0 (0.48),0 (0.0),0 (0.08),0 (0.0),0 (0.0),0,"BERT,Falcon,W2V,LLAMA3,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.28),0 (0.24),0 (0.24),0 (0.32),0 (0.0),0 (0.28),0 (0.6),0 (0.24),0 (0.2),0 (0.24),0 (0.08),0 (0.44),0 (0.56),0 (0.48),0 (0.4),0,ELECTRA,ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0,)",TRUE,TRUE
1 (0.44),0 (0.0),1 (0.24),1 (0.36),0 (0.36),0 (0.48),0 (0.12),1 (0.0),1 (0.36),0 (0.24),0 (0.08),1 (0.12),1 (0.32),0 (0.08),1 (0.16),0,"BART,Fasttext",BART,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 1)",TRUE,TRUE
1 (0.44),1 (0.28),1 (0.04),1 (0.04),1 (0.08),1 (0.04),1 (0.08),1 (0.08),1 (0.0),1 (0.0),1 (0.08),1 (0.08),1 (0.08),1 (0.0),1 (0.0),1,"Glove,LLAMA,LLAMA3,MISTRAL",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1)",TRUE,TRUE
1 (0.24),0 (0.36),1 (0.28),0 (0.08),1 (0.4),0 (0.12),0 (0.2),1 (0.4),1 (0.28),0 (0.04),0 (0.32),0 (0.08),0 (0.24),0 (0.4),0 (0.32),0,LLAMA,LLAMA,"LR, MLP, SVM, XGBoost","(0,)",TRUE,TRUE
1 (0.48),1 (0.36),1 (0.0),1 (0.0),1 (0.16),1 (0.28),1 (0.04),1 (0.04),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.04),1 (0.04),1 (0.0),1,"BERT,DistilBERT,Glove,LLAMA,W2V,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.32),0 (0.48),0 (0.0),1 (0.0),0 (0.2),1 (0.0),0 (0.0),1 (0.0),1 (0.24),1 (0.04),1 (0.0),1 (0.0),0 (0.4),1 (0.0),1 (0.0),1,"BERT,DistilBERT,ELMO,Falcon,Fasttext,RoBERTa,W2V,LLAMA3,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 1, 1, 0, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.2),0 (0.24),0 (0.04),0 (0.2),0 (0.2),0 (0.28),1 (0.28),1 (0.04),0 (0.24),0 (0.36),0 (0.24),1 (0.16),0 (0.6),0 (0.32),0 (0.24),0,"BERT,Fasttext",BERT,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 1)",TRUE,TRUE
1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.0),0 (0.16),0 (0.04),0 (0.12),0 (0.24),0 (0.2),0 (0.04),0 (0.2),0 (0.2),0 (0.04),0 (0.0),0 (0.0),0 (0.6),0 (0.04),0 (0.0),0,"ALBERT,RoBERTa,W2V,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
0 (0.0),0 (0.4),0 (0.2),0 (0.08),0 (0.04),0 (0.0),0 (0.12),0 (0.24),0 (0.08),0 (0.0),0 (0.04),0 (0.08),0 (0.28),0 (0.0),0 (0.0),0,"ALBERT,ELMO,LLAMA,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.24),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.04),0 (0.28),0 (0.04),0 (0.0),0 (0.36),0 (0.12),0 (0.0),0 (0.4),0 (0.6),0 (0.24),0 (0.44),0 (0.12),0 (0.12),0 (0.08),0 (0.04),0,"DistilBERT,Falcon",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.16),0 (0.24),0 (0.0),0 (0.0),0 (0.12),0 (0.0),0 (0.0),0 (0.24),0 (0.08),0 (0.0),0 (0.0),0 (0.04),0 (0.2),0 (0.0),0 (0.0),0,"BERT,DistilBERT,ELMO,Falcon,LLAMA,RoBERTa,LLAMA3,MISTRAL",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.12),0 (0.44),0 (0.16),0 (0.12),0 (0.28),0 (0.0),0 (0.0),0 (0.24),0 (0.24),0 (0.0),0 (0.2),0 (0.08),0 (0.0),0 (0.04),0 (0.12),0,"ELMO,Falcon,LLAMA,XLNET",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
0 (0.0),0 (0.16),0 (0.0),0 (0.0),0 (0.04),0 (0.04),0 (0.0),0 (0.04),0 (0.16),0 (0.0),0 (0.24),0 (0.0),0 (0.08),0 (0.04),0 (0.0),0,"ALBERT,BERT,DistilBERT,Falcon,LLAMA,W2V,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.32),0 (0.28),0 (0.08),0 (0.36),0 (0.08),0 (0.0),0 (0.0),0 (0.04),0 (0.12),0 (0.04),0 (0.12),0 (0.12),0 (0.24),0 (0.0),0 (0.0),0,"ELMO,Falcon,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
1 (0.44),1 (0.28),1 (0.28),0 (0.0),1 (0.0),1 (0.04),1 (0.04),0 (0.4),1 (0.4),1 (0.24),0 (0.32),1 (0.24),1 (0.44),1 (0.32),1 (0.0),1,"DistilBERT,ELECTRA,MISTRAL",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 1, 1)",TRUE,TRUE
1 (0.2),1 (0.36),1 (0.04),1 (0.0),1 (0.08),1 (0.08),1 (0.0),1 (0.44),1 (0.04),1 (0.0),1 (0.28),1 (0.28),1 (0.36),1 (0.0),1 (0.0),1,"DistilBERT,Falcon,LLAMA,LLAMA3,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.12),1 (0.0),0 (0.36),0 (0.08),0 (0.44),0 (0.36),0 (0.04),0 (0.0),1 (0.16),0 (0.24),0 (0.16),0 (0.0),1 (0.16),0 (0.04),0 (0.0),0,"BART,Fasttext,W2V,MISTRAL",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 0, 0, 0)",TRUE,TRUE
0 (0.16),1 (0.4),1 (0.0),1 (0.12),1 (0.2),1 (0.2),1 (0.04),1 (0.16),1 (0.52),1 (0.24),1 (0.36),1 (0.24),1 (0.4),1 (0.12),1 (0.28),1,BERT,BERT,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1,)",TRUE,TRUE
0 (0.36),1 (0.4),0 (0.12),0 (0.4),0 (0.36),1 (0.36),0 (0.16),1 (0.24),1 (0.44),0 (0.04),0 (0.08),0 (0.32),0 (0.28),0 (0.24),0 (0.04),0,"LLAMA,MISTRAL",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.0),0 (0.12),0 (0.2),0 (0.08),0 (0.04),0 (0.04),0 (0.0),0 (0.0),0 (0.24),0 (0.0),0 (0.0),0 (0.04),0 (0.08),0 (0.0),0 (0.0),0,"ALBERT,Falcon,Fasttext,LLAMA,RoBERTa,LLAMA3,MISTRAL",ALBERT,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.04),1 (0.2),0 (0.16),1 (0.2),0 (0.44),1 (0.0),1 (0.0),1 (0.16),1 (0.0),1 (0.0),1 (0.36),1 (0.0),1 (0.36),1 (0.0),1 (0.0),1,"ELMO,Falcon,Glove,LLAMA,W2V,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.32),0 (0.4),0 (0.2),0 (0.04),0 (0.24),0 (0.0),0 (0.0),0 (0.0),0 (0.44),0 (0.04),0 (0.16),0 (0.2),0 (0.56),0 (0.04),0 (0.0),0,"ELMO,Falcon,Fasttext,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.36),0 (0.2),1 (0.36),1 (0.24),1 (0.16),1 (0.28),1 (0.0),1 (0.48),0 (0.4),1 (0.08),0 (0.08),1 (0.24),0 (0.28),1 (0.0),1 (0.0),1,"Falcon,LLAMA3,MISTRAL",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.6),1 (0.0),1 (0.12),1 (0.12),1 (0.0),1 (0.0),1 (0.24),1 (0.2),1 (0.0),1 (0.0),1 (0.2),1 (0.12),1 (0.0),1 (0.0),1,"ALBERT,BERT,ELMO,Falcon,LLAMA,RoBERTa,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.28),0 (0.16),0 (0.08),0 (0.04),1 (0.32),0 (0.24),0 (0.08),0 (0.16),0 (0.24),0 (0.04),0 (0.16),0 (0.2),0 (0.0),0 (0.12),0 (0.0),0,"XLNET,MISTRAL",XLNET,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0)",TRUE,TRUE
1 (0.28),1 (0.44),0 (0.24),0 (0.04),1 (0.28),1 (0.24),1 (0.0),1 (0.28),1 (0.28),1 (0.04),1 (0.2),1 (0.24),1 (0.04),1 (0.04),1 (0.04),1,Falcon,Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost","(1,)",TRUE,TRUE
1 (0.12),1 (0.24),1 (0.04),1 (0.04),1 (0.36),1 (0.0),1 (0.0),1 (0.12),1 (0.04),1 (0.0),1 (0.16),1 (0.0),1 (0.08),1 (0.0),1 (0.0),1,"ELMO,Falcon,LLAMA,W2V,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.2),1 (0.16),1 (0.08),1 (0.28),1 (0.2),1 (0.12),1 (0.08),1 (0.04),0 (0.6),1 (0.04),1 (0.44),1 (0.04),1 (0.4),1 (0.04),1 (0.04),1,"Fasttext,LLAMA,W2V,LLAMA3,MISTRAL",Fasttext,"BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost","(1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.24),0 (0.64),1 (0.16),0 (0.16),0 (0.4),1 (0.2),0 (0.4),0 (0.16),0 (0.4),0 (0.28),0 (0.48),0 (0.4),0 (0.28),1 (0.36),1 (0.4),1,"BERT,DistilBERT,Fasttext",BERT,"BiLSTM, CNN","(1, 0, 0)",TRUE,TRUE
1 (0.28),1 (0.4),1 (0.12),1 (0.12),1 (0.2),1 (0.28),1 (0.08),1 (0.2),1 (0.04),1 (0.08),1 (0.28),1 (0.0),1 (0.48),1 (0.04),1 (0.0),1,"W2V,MISTRAL",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1)",TRUE,TRUE
1 (0.48),1 (0.36),1 (0.24),1 (0.04),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ELMO,Falcon,Fasttext,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.0),0 (0.52),1 (0.16),0 (0.16),1 (0.44),0 (0.32),0 (0.0),0 (0.24),0 (0.2),0 (0.0),0 (0.52),0 (0.16),1 (0.48),0 (0.0),0 (0.2),0,"ALBERT,Falcon,LLAMA,LLAMA3",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0)",TRUE,TRUE
0 (0.16),0 (0.48),0 (0.16),0 (0.12),0 (0.52),0 (0.0),0 (0.0),0 (0.24),0 (0.32),0 (0.0),0 (0.0),0 (0.12),0 (0.36),0 (0.0),0 (0.0),0,"ELMO,Falcon,LLAMA,RoBERTa,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.28),0 (0.28),0 (0.16),0 (0.0),1 (0.36),0 (0.28),0 (0.12),0 (0.28),1 (0.32),0 (0.12),0 (0.0),0 (0.2),0 (0.28),0 (0.0),0 (0.2),0,"DistilBERT,RoBERTa,LLAMA3",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.36),1 (0.08),1 (0.12),1 (0.08),1 (0.4),1 (0.0),1 (0.16),1 (0.2),1 (0.0),1 (0.04),1 (0.16),1 (0.16),1 (0.0),1 (0.0),1,"ALBERT,Falcon,LLAMA,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.08),1 (0.36),0 (0.28),0 (0.2),1 (0.0),0 (0.04),1 (0.24),1 (0.24),1 (0.04),1 (0.08),0 (0.0),1 (0.36),1 (0.24),1 (0.16),1 (0.0),0,"ELECTRA,RoBERTa,MISTRAL",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost","(1, 0, 1)",TRUE,TRUE
1 (0.0),1 (0.08),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.28),0 (0.24),0 (0.32),0 (0.48),0 (0.48),0 (0.24),0 (0.04),0 (0.0),1 (0.2),0 (0.0),0 (0.2),0 (0.28),0 (0.48),0 (0.04),0 (0.0),0,"Fasttext,LLAMA,MISTRAL",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
