ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected_view,Selected_cls,Accuracy,Oracle_view
4 (0.8),0 (0.84),3 (0.76),3 (0.84),0 (0.88),3 (0.92),3 (0.84),3 (0.76),4 (0.56),3 (0.76),3 (0.76),4 (0.96),3 (0.96),3 (0.88),3 (0.76),3,Glove,"(4,)",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM, XGBoost",FALSE,TRUE
1 (0.84),1 (0.88),1 (0.76),5 (0.88),1 (0.84),1 (0.68),5 (0.64),3 (0.84),1 (0.76),5 (0.76),1 (0.72),5 (0.96),2 (0.8),1 (0.88),1 (0.76),2,Falcon,"(5,)",Falcon,"BiLSTM, CNN, LR",FALSE,TRUE
0 (0.84),3 (0.92),1 (0.92),1 (0.92),1 (0.76),1 (0.68),1 (0.84),1 (0.76),1 (0.68),1 (0.88),1 (0.68),1 (0.8),2 (0.92),5 (0.84),1 (0.92),0,"ELMO,Glove,RoBERTa","(1, 1, 1)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, SVM, XGBoost",FALSE,TRUE
4 (0.8),4 (0.92),4 (0.72),4 (0.92),4 (0.8),5 (0.72),4 (0.8),4 (0.84),3 (0.76),4 (0.8),4 (0.72),4 (0.88),4 (0.84),4 (0.88),4 (0.92),3,"BERT,ELMO,RoBERTa","(4, 5, 4)",RoBERTa,"BiLSTM, CNN, KNN, LR, MLP, NB, SVM, XGBoost",FALSE,TRUE
2 (0.8),1 (0.72),2 (0.84),2 (0.88),4 (0.76),1 (0.96),2 (0.8),0 (0.84),1 (0.8),1 (0.8),1 (0.76),3 (0.84),3 (0.8),1 (0.8),1 (0.8),2,BART,"(1,)",BART,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM, XGBoost",FALSE,TRUE
1 (0.72),1 (0.72),0 (0.96),3 (0.68),3 (0.68),1 (0.88),1 (0.88),1 (0.8),1 (0.8),0 (0.8),4 (0.84),3 (0.68),1 (0.76),3 (0.72),1 (0.72),4,"DistilBERT,ELECTRA,W2V","(3, 3, 3)",DistilBERT,KNN,FALSE,TRUE
0 (0.6),1 (0.92),1 (0.8),1 (0.8),0 (0.72),1 (0.84),1 (0.76),1 (0.44),4 (0.84),1 (0.84),1 (0.88),4 (0.8),0 (0.76),1 (0.76),1 (0.8),0,Fasttext,"(1,)",Fasttext,"BiLSTM, CNN, KNN, LR, XGBoost",FALSE,TRUE
1 (0.88),3 (0.76),2 (0.44),2 (0.92),0 (0.88),1 (0.8),3 (0.84),1 (0.76),1 (0.8),3 (0.84),3 (0.8),0 (0.84),3 (0.8),3 (0.8),3 (0.84),3,BERT,"(2,)",BERT,"BiLSTM, CNN, KNN, LR, MLP, NB, XGBoost",FALSE,TRUE
3 (0.64),3 (0.84),4 (0.84),1 (0.72),4 (0.76),1 (0.72),4 (0.64),4 (0.88),4 (0.8),4 (0.64),4 (0.72),4 (0.84),3 (0.84),3 (0.8),3 (0.76),4,"ALBERT,Falcon,LLAMA","(3, 4, 4)",Falcon,"AdaBoost, BiLSTM, CNN, LR, MLP, SVM",TRUE,TRUE
3 (0.8),4 (0.88),4 (0.8),4 (0.76),4 (0.72),1 (0.84),3 (0.72),3 (0.68),3 (0.72),4 (0.8),4 (0.72),1 (0.92),3 (0.88),3 (0.72),1 (0.84),4,Fasttext,"(3,)",Fasttext,"AdaBoost, KNN, NB, RF, SVM",FALSE,TRUE
4 (0.88),3 (0.84),1 (0.76),1 (0.68),1 (0.84),1 (0.76),1 (0.76),4 (0.84),4 (0.68),1 (0.8),1 (0.72),4 (0.8),1 (0.88),1 (0.84),1 (0.88),1,"DistilBERT,Glove","(1, 4)",DistilBERT,"BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
3 (0.72),3 (0.8),2 (0.8),2 (0.8),4 (0.88),3 (0.72),0 (0.8),4 (0.76),1 (0.8),3 (0.88),0 (0.84),2 (0.88),3 (0.72),3 (0.76),4 (0.84),1,"ALBERT,ELMO,XLNET","(3, 3, 3)",ALBERT,"BiLSTM, CNN, KNN, LR, MLP, RF",FALSE,TRUE
1 (0.88),1 (0.76),0 (0.76),1 (0.92),1 (0.84),0 (0.68),1 (0.8),2 (0.84),2 (0.88),1 (0.92),1 (0.88),1 (0.76),1 (0.72),1 (0.76),1 (0.92),2,ELMO,"(0,)",ELMO,"AdaBoost, KNN, NB, XGBoost",FALSE,TRUE
2 (0.92),4 (0.8),3 (0.8),5 (0.84),4 (0.68),3 (0.88),3 (0.8),4 (0.76),3 (0.68),4 (0.84),3 (0.84),3 (0.92),3 (0.8),3 (0.68),3 (0.6),4,MISTRAL,"(3,)",MISTRAL,"KNN, LR, MLP, RF, XGBoost",FALSE,TRUE
3 (0.84),0 (0.84),3 (0.76),3 (0.84),4 (0.84),4 (0.68),3 (0.76),3 (0.8),3 (0.84),3 (0.72),3 (0.84),3 (0.76),3 (0.84),3 (0.8),3 (0.72),4,ELMO,"(4,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
3 (0.84),3 (0.92),3 (0.8),1 (0.84),3 (0.92),3 (0.72),3 (0.8),4 (0.72),3 (0.72),3 (0.64),3 (0.76),3 (0.8),3 (0.68),3 (0.68),3 (0.8),4,LLAMA,"(3,)",LLAMA,"AdaBoost, BiLSTM, CNN, LR, XGBoost",FALSE,TRUE
1 (0.64),1 (0.48),1 (0.4),1 (0.64),1 (0.36),1 (0.16),1 (0.72),1 (0.68),1 (0.84),1 (0.6),1 (0.56),1 (0.8),1 (0.48),1 (0.64),1 (0.68),1,ELMO,"(1,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
3 (0.88),1 (0.84),2 (0.76),2 (0.8),1 (0.84),1 (0.8),2 (0.8),3 (0.76),5 (0.88),1 (0.92),2 (0.88),5 (0.8),0 (0.84),2 (0.92),2 (0.92),5,"BERT,Fasttext","(2, 3)",Fasttext,"BiLSTM, CNN, KNN, LR, RF, SVM",FALSE,TRUE
1 (0.8),1 (0.8),3 (0.76),1 (0.84),4 (0.6),1 (0.92),1 (0.88),1 (0.84),3 (0.68),1 (0.76),1 (0.72),0 (0.8),1 (0.68),1 (0.84),1 (0.92),0,ELECTRA,"(4,)",ELECTRA,"KNN, NB, RF, SVM, XGBoost",FALSE,TRUE
1 (0.8),2 (0.8),1 (0.84),2 (0.64),1 (0.76),0 (0.88),1 (0.8),4 (0.8),1 (0.88),1 (0.8),2 (0.88),0 (0.96),1 (0.72),1 (0.68),3 (0.92),0,DistilBERT,"(2,)",DistilBERT,"BiLSTM, CNN, KNN, LR, XGBoost",FALSE,TRUE
5 (0.6),3 (0.8),1 (0.88),3 (0.76),2 (0.84),1 (0.48),4 (0.72),5 (0.8),2 (0.88),5 (0.8),4 (0.84),4 (0.96),3 (0.68),4 (0.96),4 (0.76),0,ELMO,"(1,)",ELMO,"BiLSTM, CNN, KNN, MLP, NB",FALSE,FALSE
3 (0.84),3 (0.84),3 (0.84),3 (0.76),2 (0.8),2 (0.88),3 (0.92),2 (0.68),2 (0.96),3 (0.68),1 (0.8),3 (0.6),3 (0.92),3 (0.88),3 (0.8),2,W2V,"(3,)",W2V,"BiLSTM, CNN, KNN, LR, RF, SVM",FALSE,TRUE
1 (0.8),1 (0.88),0 (0.88),5 (0.72),4 (0.84),1 (0.84),1 (0.84),1 (0.72),1 (0.76),5 (0.84),1 (0.96),1 (0.92),2 (0.84),2 (0.8),1 (0.8),3,"DistilBERT,Fasttext","(5, 1)",DistilBERT,"BiLSTM, CNN, KNN, RF, SVM",FALSE,FALSE
3 (0.8),4 (0.68),3 (0.84),0 (0.76),3 (0.88),5 (0.72),4 (0.76),5 (0.84),3 (0.72),4 (0.84),4 (0.8),5 (0.84),4 (0.68),4 (0.76),5 (0.84),3,"BART,XLNET","(4, 4)",XLNET,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,TRUE
2 (0.88),3 (0.72),2 (0.84),5 (0.96),4 (0.76),2 (0.84),3 (0.88),3 (0.76),1 (0.92),3 (0.72),3 (0.64),3 (0.72),1 (0.96),3 (0.88),3 (0.88),4,RoBERTa,"(3,)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
2 (0.92),1 (0.8),1 (0.8),3 (0.8),1 (0.8),1 (0.88),0 (0.84),3 (0.88),1 (0.76),1 (0.64),3 (0.84),1 (0.88),1 (0.76),3 (0.88),1 (0.92),5,LLAMA,"(1,)",LLAMA,"BiLSTM, CNN, KNN, LR, RF, SVM, XGBoost",FALSE,FALSE
3 (0.8),3 (0.92),3 (0.88),3 (0.92),3 (0.8),1 (0.72),2 (0.72),4 (0.92),3 (0.8),3 (0.88),2 (0.64),2 (0.84),1 (0.88),5 (0.92),2 (0.92),3,RoBERTa,"(2,)",RoBERTa,"BiLSTM, CNN, KNN, LR, NB, RF, SVM, XGBoost",FALSE,TRUE
3 (0.84),0 (0.76),2 (0.88),0 (0.88),1 (0.88),1 (0.72),1 (0.76),1 (0.84),1 (0.68),2 (0.96),1 (0.68),1 (0.6),1 (0.6),2 (0.84),2 (0.8),4,"W2V,XLNET","(1, 1)",XLNET,"AdaBoost, KNN, NB, SVM",FALSE,FALSE
2 (0.96),2 (0.72),2 (0.72),2 (0.88),1 (0.72),0 (0.76),1 (0.76),3 (0.68),1 (0.8),2 (0.72),1 (0.64),3 (0.68),2 (0.76),1 (0.92),1 (0.76),0,RoBERTa,"(1,)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
3 (0.56),3 (0.92),0 (0.68),3 (0.84),2 (0.68),4 (0.64),3 (0.92),3 (0.68),3 (0.76),3 (0.8),1 (0.88),3 (0.52),4 (0.64),3 (0.92),2 (0.96),3,W2V,"(3,)",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
3 (0.88),3 (0.84),5 (0.84),3 (0.88),1 (0.84),5 (0.76),3 (0.8),5 (0.92),3 (0.84),3 (0.84),3 (0.68),4 (0.84),3 (0.68),3 (0.8),3 (0.76),5,"RoBERTa,XLNET","(3, 3)",XLNET,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,TRUE
2 (0.92),3 (0.92),1 (0.88),2 (0.8),1 (0.8),2 (0.92),3 (0.84),3 (0.88),1 (0.64),3 (0.84),3 (0.76),1 (0.72),3 (0.88),2 (0.88),1 (0.92),2,Glove,"(1,)",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",FALSE,TRUE
3 (0.8),1 (0.84),3 (0.8),0 (0.64),0 (0.76),3 (0.72),1 (0.76),1 (0.68),3 (0.8),4 (0.84),1 (0.84),4 (0.92),2 (0.8),1 (0.96),1 (0.88),0,DistilBERT,"(0,)",DistilBERT,"BiLSTM, CNN, KNN, MLP, RF",TRUE,TRUE
1 (0.92),1 (0.76),2 (0.88),1 (0.6),1 (0.92),4 (0.72),3 (0.72),4 (0.88),2 (0.76),3 (0.52),1 (0.88),3 (0.88),1 (0.84),4 (0.76),4 (0.6),3,LLAMA,"(3,)",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",TRUE,TRUE
3 (0.88),1 (0.64),2 (0.72),1 (0.88),2 (0.84),1 (0.88),4 (0.68),2 (0.72),3 (0.88),4 (0.88),4 (0.76),2 (0.96),1 (0.76),4 (0.84),4 (0.84),5,BART,"(1,)",BART,"BiLSTM, CNN, KNN, LR, RF, SVM, XGBoost",FALSE,FALSE
3 (0.6),3 (0.8),4 (0.8),2 (0.88),3 (0.8),4 (0.8),0 (0.76),1 (0.8),4 (0.8),1 (0.8),0 (0.92),1 (0.72),1 (0.72),1 (0.76),0 (0.84),5,ALBERT,"(3,)",ALBERT,"BiLSTM, CNN, KNN, NB, RF, XGBoost",FALSE,FALSE
1 (0.76),3 (0.92),3 (0.76),3 (0.84),2 (0.92),2 (0.88),5 (0.72),1 (0.8),1 (0.76),5 (0.72),3 (0.92),1 (0.84),1 (0.8),3 (0.76),3 (0.64),3,MISTRAL,"(3,)",MISTRAL,"BiLSTM, CNN, LR, MLP, SVM, XGBoost",TRUE,TRUE
4 (0.8),4 (0.72),4 (0.84),4 (0.88),3 (0.84),4 (0.68),4 (0.88),5 (0.88),3 (0.48),4 (0.84),3 (0.72),4 (0.8),3 (0.84),4 (0.88),4 (0.84),0,Glove,"(3,)",Glove,"BiLSTM, CNN, KNN, LR, XGBoost",FALSE,FALSE
3 (0.84),3 (0.84),0 (0.8),0 (0.72),3 (0.76),1 (0.96),0 (0.76),4 (0.84),4 (0.72),1 (0.68),1 (0.8),5 (0.92),2 (0.8),0 (0.8),0 (0.92),1,LLAMA,"(1,)",LLAMA,"BiLSTM, CNN, KNN, LR, NB, RF, SVM, XGBoost",TRUE,TRUE
0 (0.72),3 (0.8),0 (0.84),4 (0.8),1 (0.6),1 (0.92),0 (0.84),0 (0.8),1 (0.76),1 (0.68),3 (0.76),1 (0.88),1 (0.88),0 (0.88),3 (0.8),2,ELECTRA,"(1,)",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,FALSE
3 (0.72),1 (0.8),3 (0.92),1 (0.72),1 (0.84),1 (0.8),2 (0.68),4 (0.8),1 (0.88),0 (0.92),2 (0.84),1 (0.64),1 (0.8),0 (0.88),0 (0.68),4,W2V,"(1,)",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
1 (0.68),1 (0.68),1 (0.76),1 (0.84),3 (0.64),1 (0.8),0 (0.84),1 (0.84),4 (0.88),2 (0.8),1 (0.88),1 (0.76),2 (0.96),1 (1.0),1 (0.8),5,ELECTRA,"(3,)",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
5 (0.76),3 (0.72),5 (0.96),5 (0.88),1 (0.64),1 (0.84),5 (0.8),4 (0.84),1 (0.8),5 (0.8),5 (0.88),5 (0.72),3 (0.64),5 (0.76),5 (0.72),3,"ELECTRA,XLNET","(1, 3)",XLNET,"AdaBoost, KNN, LR, RF, XGBoost",TRUE,TRUE
1 (0.72),1 (0.8),2 (0.84),1 (0.72),3 (0.88),1 (0.84),2 (0.92),1 (0.76),1 (0.76),2 (0.92),1 (0.64),1 (0.84),1 (0.8),2 (0.76),2 (0.96),4,RoBERTa,"(1,)",RoBERTa,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",FALSE,FALSE
3 (0.92),0 (0.84),2 (0.96),1 (0.72),1 (0.72),1 (0.68),1 (0.8),1 (0.72),2 (0.68),1 (0.84),3 (0.68),1 (0.84),1 (0.88),3 (0.72),2 (0.68),5,"ELMO,Glove,RoBERTa,MISTRAL","(1, 2, 3, 2)",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
0 (0.8),2 (0.72),0 (0.88),2 (0.68),3 (0.88),0 (0.92),2 (0.76),2 (0.96),1 (0.76),2 (0.44),0 (0.8),1 (0.68),1 (0.76),1 (0.68),0 (0.76),5,LLAMA,"(2,)",LLAMA,"BiLSTM, CNN, KNN, LR, RF, SVM, XGBoost",FALSE,FALSE
1 (0.88),1 (0.88),0 (0.92),2 (0.84),4 (0.88),1 (0.72),3 (0.92),3 (0.76),4 (0.72),2 (0.84),2 (0.88),4 (0.84),3 (0.92),3 (0.8),1 (0.88),4,"ELMO,Glove","(1, 4)",Glove,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM, XGBoost",TRUE,TRUE
2 (0.96),4 (0.88),1 (0.76),3 (0.64),1 (0.8),3 (0.72),3 (0.8),2 (0.84),3 (0.76),1 (0.88),3 (0.88),1 (0.76),4 (0.6),3 (0.72),3 (0.84),1,XLNET,"(4,)",XLNET,"AdaBoost, KNN",FALSE,TRUE
2 (0.84),3 (0.92),1 (0.84),1 (0.8),3 (0.72),2 (0.8),3 (0.72),3 (0.68),3 (0.8),3 (0.84),3 (0.92),1 (0.68),3 (0.76),3 (0.76),3 (0.8),3,"Fasttext,W2V","(3, 1)",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, SVM, XGBoost",TRUE,TRUE
3 (0.88),0 (0.76),1 (0.76),4 (0.72),4 (0.96),2 (0.72),3 (0.88),3 (0.84),4 (0.8),4 (0.6),3 (1.0),3 (0.88),1 (0.8),4 (0.72),3 (0.76),2,LLAMA,"(4,)",LLAMA,"KNN, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
4 (0.76),5 (0.88),4 (0.84),4 (0.8),4 (0.8),4 (0.84),4 (0.68),4 (0.76),4 (0.8),4 (0.76),4 (0.92),4 (0.76),5 (0.84),4 (0.72),4 (0.72),3,Falcon,"(4,)",Falcon,"AdaBoost, BiLSTM, CNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
0 (0.76),3 (0.84),5 (0.68),1 (0.92),3 (0.88),1 (0.84),0 (0.8),1 (0.76),1 (0.88),5 (0.76),3 (0.84),2 (0.88),0 (0.8),1 (1.0),4 (0.76),4,BERT,"(5,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",FALSE,TRUE
1 (0.76),1 (0.6),5 (0.84),3 (0.84),1 (0.68),0 (0.76),1 (0.88),4 (0.84),5 (0.88),1 (0.6),5 (0.72),3 (0.68),1 (0.8),1 (0.88),0 (0.88),3,"BART,LLAMA","(1, 1)",LLAMA,"AdaBoost, KNN, LR, NB, RF, SVM, XGBoost",FALSE,TRUE
1 (0.72),1 (0.76),1 (0.68),1 (0.76),3 (0.68),1 (0.84),1 (0.88),1 (0.72),3 (0.84),1 (0.8),1 (0.8),1 (0.68),1 (0.76),1 (0.8),1 (0.64),2,MISTRAL,"(1,)",MISTRAL,"BiLSTM, CNN, KNN, LR, NB, RF, SVM, XGBoost",FALSE,FALSE
3 (0.84),3 (0.92),3 (0.84),4 (0.84),3 (0.8),2 (0.96),1 (0.72),1 (0.84),1 (0.96),1 (0.92),1 (0.76),3 (0.88),2 (0.88),1 (0.8),2 (0.88),3,Falcon,"(1,)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, LR, NB, SVM, XGBoost",FALSE,TRUE
2 (0.84),1 (0.92),1 (0.84),1 (0.76),1 (0.84),5 (0.8),1 (0.68),4 (0.76),3 (0.84),1 (0.68),3 (0.88),1 (0.8),1 (0.72),0 (0.92),3 (0.8),0,"Falcon,LLAMA","(1, 1)",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, XGBoost",FALSE,TRUE
3 (0.76),1 (0.72),3 (0.84),2 (0.76),1 (0.92),2 (0.68),3 (0.64),2 (0.72),3 (0.8),1 (0.64),1 (0.76),1 (0.72),1 (0.84),2 (0.64),2 (0.72),3,"Falcon,LLAMA,LLAMA3","(3, 1, 2)",Falcon,"AdaBoost, BiLSTM, CNN, KNN, NB, XGBoost",TRUE,TRUE
2 (0.68),3 (0.72),1 (0.84),3 (0.76),1 (0.84),2 (0.88),0 (0.76),2 (0.84),1 (0.84),1 (0.92),1 (0.92),1 (0.92),0 (0.8),1 (0.76),1 (0.92),5,ALBERT,"(2,)",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, MLP, NB, RF, SVM",FALSE,FALSE
5 (0.84),4 (0.92),5 (0.8),3 (0.8),3 (0.92),1 (0.8),4 (0.72),3 (0.68),1 (0.76),2 (0.72),3 (0.68),3 (0.68),1 (0.92),2 (0.64),2 (0.8),5,LLAMA3,"(2,)",LLAMA3,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM",FALSE,TRUE
4 (1.0),1 (0.76),3 (0.8),3 (0.76),1 (0.8),3 (0.76),3 (0.72),3 (0.76),3 (0.72),4 (0.8),3 (0.92),4 (0.84),1 (0.72),4 (0.76),1 (0.64),3,MISTRAL,"(1,)",MISTRAL,"RF, SVM, XGBoost",FALSE,TRUE
1 (0.76),4 (0.84),5 (0.84),1 (0.8),4 (0.88),5 (0.84),4 (0.96),4 (0.88),4 (0.72),4 (0.84),4 (0.8),5 (0.8),3 (0.8),5 (0.72),4 (0.8),5,"Glove,LLAMA3","(4, 5)",LLAMA3,"BiLSTM, CNN, KNN, MLP, NB",TRUE,TRUE
4 (0.76),4 (0.84),4 (0.72),1 (0.76),3 (0.8),5 (0.8),3 (0.72),4 (0.56),4 (0.88),3 (0.76),1 (0.88),4 (0.64),3 (0.88),3 (0.8),1 (0.76),4,Fasttext,"(4,)",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, MLP, RF, XGBoost",TRUE,TRUE
1 (0.88),1 (0.84),3 (0.88),0 (0.84),1 (0.84),1 (0.8),0 (0.88),0 (0.8),4 (0.8),0 (0.92),1 (0.84),0 (0.76),1 (0.8),0 (0.88),1 (0.92),3,W2V,"(0,)",W2V,"AdaBoost, BiLSTM, CNN, KNN, MLP, NB",FALSE,TRUE
1 (0.92),1 (0.72),1 (0.64),0 (0.92),4 (0.68),1 (0.8),0 (0.6),1 (0.88),4 (0.8),1 (0.8),1 (0.8),1 (0.64),1 (0.76),1 (0.84),1 (0.84),0,Falcon,"(0,)",Falcon,"KNN, LR, MLP, RF, SVM",TRUE,TRUE
3 (0.76),3 (0.92),3 (0.72),3 (0.72),2 (0.8),4 (0.68),4 (0.68),4 (0.76),3 (0.6),3 (0.72),3 (0.72),4 (0.76),4 (0.6),3 (0.64),3 (0.64),5,"Glove,XLNET","(3, 4)",Glove,"KNN, RF, SVM, XGBoost",FALSE,FALSE
1 (0.92),1 (0.76),1 (0.68),1 (0.8),1 (0.8),1 (0.84),1 (0.6),2 (0.84),0 (0.88),1 (0.48),1 (0.8),1 (0.68),1 (0.88),1 (0.76),1 (0.52),5,LLAMA,"(1,)",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost",FALSE,FALSE
3 (0.92),3 (0.68),4 (0.84),4 (0.88),5 (0.8),2 (0.88),3 (0.76),2 (0.8),3 (0.8),0 (0.84),2 (0.76),3 (0.92),4 (0.72),1 (0.76),1 (0.92),5,BART,"(3,)",BART,"AdaBoost, KNN, LR, MLP, RF",FALSE,TRUE
3 (0.8),2 (0.8),1 (0.76),3 (0.92),5 (0.72),1 (0.72),4 (0.72),2 (0.76),3 (0.68),3 (0.8),4 (0.8),3 (0.8),0 (0.92),4 (0.84),1 (0.76),4,Glove,"(3,)",Glove,"BiLSTM, CNN, KNN, LR, MLP, NB, SVM",FALSE,TRUE
1 (0.84),1 (0.8),3 (0.72),1 (0.8),4 (0.8),1 (0.88),2 (0.88),3 (0.8),2 (0.8),3 (0.76),2 (0.8),1 (0.76),4 (0.88),1 (0.72),3 (0.8),1,"BERT,LLAMA3","(3, 1)",LLAMA3,"BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM",TRUE,TRUE
3 (0.76),3 (0.84),2 (0.72),2 (0.76),2 (0.84),3 (0.72),2 (0.8),3 (0.84),3 (0.72),2 (0.84),3 (0.68),2 (0.76),1 (0.84),3 (0.88),3 (0.76),3,RoBERTa,"(3,)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
0 (0.84),1 (0.88),0 (0.8),3 (0.8),1 (0.6),0 (0.88),0 (0.88),2 (0.8),1 (0.92),0 (0.8),0 (0.88),2 (0.72),3 (0.88),2 (0.68),5 (0.92),1,ELECTRA,"(1,)",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, SVM",TRUE,TRUE
0 (0.84),4 (0.88),0 (0.6),0 (0.72),1 (0.92),0 (0.84),0 (0.76),1 (0.84),1 (0.8),0 (0.84),0 (0.8),0 (0.8),0 (0.8),0 (0.68),1 (0.72),0,BERT,"(0,)",BERT,"AdaBoost, BiLSTM, CNN, KNN, MLP, NB, SVM, XGBoost",TRUE,TRUE
3 (0.76),3 (0.76),4 (0.84),4 (0.84),3 (0.8),5 (0.92),5 (0.76),4 (0.88),5 (0.72),5 (0.76),3 (0.76),3 (0.8),3 (0.92),5 (0.8),5 (0.84),2,Glove,"(5,)",Glove,"AdaBoost, KNN, MLP, NB",FALSE,FALSE
3 (0.88),3 (0.88),4 (0.76),3 (0.84),3 (0.76),4 (0.8),4 (0.92),4 (0.96),4 (0.8),3 (0.88),3 (0.96),4 (0.8),4 (0.8),4 (0.8),4 (0.72),4,MISTRAL,"(4,)",MISTRAL,"BiLSTM, CNN, NB, RF, SVM",TRUE,TRUE
1 (0.68),1 (0.8),2 (0.84),2 (0.92),3 (0.84),1 (0.76),4 (0.92),1 (0.68),1 (0.76),4 (0.56),0 (0.76),1 (0.8),1 (0.88),1 (0.6),1 (0.88),4,LLAMA,"(4,)",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, SVM",TRUE,TRUE
2 (0.84),1 (0.72),2 (0.92),2 (0.68),3 (0.92),1 (0.52),5 (0.8),4 (0.88),1 (0.76),2 (0.84),3 (0.6),0 (0.72),3 (0.8),3 (0.56),3 (0.64),5,ELMO,"(1,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,TRUE
3 (0.68),1 (0.88),5 (0.88),1 (0.8),4 (0.8),4 (0.72),4 (0.84),1 (0.88),1 (0.84),4 (0.56),4 (0.64),1 (0.84),5 (0.72),4 (0.64),1 (0.56),1,"LLAMA,MISTRAL","(4, 1)",MISTRAL,"AdaBoost, KNN, MLP, XGBoost",TRUE,TRUE
2 (0.76),3 (0.8),3 (0.88),3 (0.88),5 (0.84),1 (0.84),1 (0.84),4 (0.8),3 (0.76),4 (0.92),1 (0.64),1 (0.8),1 (0.88),1 (0.8),1 (0.8),1,RoBERTa,"(1,)",RoBERTa,"BiLSTM, CNN, KNN, LR, MLP",TRUE,TRUE
3 (0.8),4 (0.8),1 (0.8),1 (0.84),3 (0.88),1 (0.72),3 (0.8),4 (0.84),3 (0.84),3 (0.8),3 (0.76),4 (0.92),1 (0.92),3 (0.84),3 (0.8),1,ELMO,"(1,)",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",TRUE,TRUE
1 (0.88),3 (0.72),3 (0.8),3 (0.88),3 (0.8),3 (0.76),3 (0.72),4 (0.68),3 (0.68),3 (0.8),3 (0.8),3 (0.6),3 (0.88),3 (0.76),3 (0.8),2,W2V,"(3,)",W2V,"AdaBoost, BiLSTM, CNN, KNN, LR, RF, XGBoost",FALSE,FALSE
1 (0.84),5 (0.76),1 (0.8),3 (0.72),3 (0.76),1 (0.8),1 (0.72),1 (0.88),5 (0.8),1 (0.76),1 (0.92),2 (0.8),5 (0.8),1 (0.68),1 (0.72),5,LLAMA3,"(1,)",LLAMA3,"BiLSTM, CNN, KNN, LR, XGBoost",FALSE,TRUE
3 (0.6),1 (0.88),3 (0.76),1 (0.76),1 (0.8),5 (0.6),2 (0.76),1 (0.72),1 (0.88),3 (0.84),2 (0.84),1 (0.88),1 (0.92),2 (0.76),3 (0.84),5,"ALBERT,ELMO","(3, 5)",ELMO,"KNN, MLP",TRUE,TRUE
